keys,en,ko
stage.generated_19.name,NINETEENTH RANGE,열아홉 번째 산맥
stage.generated_19.objective,Keep both shot families moving across the range.,두 발사 가족을 산맥 위에서 계속 굴리세요.
stage.generated_20.name,TWENTIETH RANGE,스무 번째 산맥
stage.generated_20.objective,Keep both shot families moving across the range.,두 발사 가족을 산맥 위에서 계속 굴리세요.
stage.generated_21.name,TWENTY-FIRST RANGE,스물한 번째 산맥
stage.generated_21.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_22.name,TWENTY-SECOND RANGE,스물두 번째 산맥
stage.generated_22.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_23.name,TWENTY-THIRD RANGE,스물세 번째 산맥
stage.generated_23.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_24.name,TWENTY-FOURTH RANGE,스물네 번째 산맥
stage.generated_24.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_25.name,TWENTY-FIFTH RANGE,스물다섯 번째 산맥
stage.generated_25.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_26.name,TWENTY-SIXTH RANGE,스물여섯 번째 산맥
stage.generated_26.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_27.name,TWENTY-SEVENTH RANGE,스물일곱 번째 산맥
stage.generated_27.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_28.name,TWENTY-EIGHTH RANGE,스물여덟 번째 산맥
stage.generated_28.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_29.name,TWENTY-NINTH RANGE,스물아홉 번째 산맥
stage.generated_29.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
stage.generated_30.name,THIRTIETH RANGE,서른 번째 산맥
stage.generated_30.objective,Use Splitter and Uphill Rebound to cover the branching range.,분열과 오르막 반동 문양으로 갈라지는 산맥을 칠하세요.
